Tiempo;;
1,15;;
1,574;;
1,21;;
1,471;;
1,234;;
1,294;;
1,471;;
1,057;;
1,138;;
1,11;;
0,971;;
1,067;;
1,072;;
1,199;;
1,177;;
1,305;;
1,287;;
1,188;;
0,964;;
1,134;;
